date,volume,inflow
2011-07-01,309.4206,921.2618
2011-08-01,307.1711,1011.5657
2011-09-01,311.5088,1015.9113
2011-10-01,308.7232,962.2646
2011-11-01,311.4002,933.1274
2011-12-01,318.9592,1048.5529
2012-01-01,312.8589,932.0714
2012-02-01,315.4546,954.7997
2012-03-01,333.6066,1203.2343
2012-04-01,329.2442,1070.7204
2012-05-01,324.1925,1056.731
2012-06-01,329.0203,1045.7621
2012-07-01,321.0527,1014.5535
2012-08-01,319.8432,986.7237
2012-09-01,329.2944,987.1955
2012-10-01,321.8913,1045.6651
2012-11-01,323.0651,1015.8912
2012-12-01,333.1861,1078.1991
2013-01-01,327.5275,1031.6069
2013-02-01,330.84,996.5282
2013-03-01,349.6585,1285.0748
2013-04-01,346.1928,1257.5212
2013-05-01,344.3169,1139.4492
2013-06-01,350.9201,1113.116
2013-07-01,343.0986,1116.9766
2013-08-01,344.4757,1004.4587
2013-09-01,349.5883,1097.1608
2013-10-01,344.9858,1082.7034
2013-11-01,350.5984,1003.8137
2013-12-01,358.421,1189.7422
2014-01-01,351.0918,1078.7829
2014-02-01,353.674,1030.6742
2014-03-01,369.1444,1314.5339
2014-04-01,367.1846,1205.5798
2014-05-01,365.4283,1079.077
2014-06-01,367.9286,1235.3698
2014-07-01,359.1871,1118.109
2014-08-01,362.0487,1016.6065
2014-09-01,367.4072,1167.5332
2014-10-01,362.4419,1105.8625
2014-11-01,371.5297,1006.6822
2014-12-01,377.5384,1279.3424
2015-01-01,372.8084,1112.6908
2015-02-01,377.1433,1090.5502
2015-03-01,390.091,1416.6401
2015-04-01,388.3296,1194.4922
2015-05-01,390.6623,1059.922
2015-06-01,390.8963,1304.9619
2015-07-01,383.0476,1208.4149
2015-08-01,382.1733,1141.5087
2015-09-01,388.0993,1190.2448
2015-10-01,385.7452,1128.4771
2015-11-01,387.6884,1135.6183
2015-12-01,393.7294,1295.9086
2016-01-01,389.6855,1123.0273
2016-02-01,395.3187,1150.9268
2016-03-01,415.9756,1332.2274
2016-04-01,419.8764,1119.547
2016-05-01,418.3476,1100.2177
2016-06-01,422.3068,1223.6445
2016-07-01,419.6975,1071.6781
2016-08-01,417.4411,1133.3467
2016-09-01,421.6361,1168.6613
2016-10-01,424.3043,1063.0771
2016-11-01,430.3514,1093.0335
2016-12-01,438.1998,1267.3639
2017-01-01,434.4271,1117.4802
2017-02-01,438.1007,1070.5192
2017-03-01,451.7999,1401.3897
2017-04-01,454.9728,1172.7293
2017-05-01,452.9143,1188.4016
2017-06-01,456.2938,1226.972
2017-07-01,451.0628,1095.6384
2017-08-01,452.295,1100.0116
2017-09-01,457.7145,1119.5409
2017-10-01,457.9872,1127.319
2017-11-01,461.6993,1085.6168
2017-12-01,467.0398,1215.8024
2018-01-01,463.2484,1104.0482
2018-02-01,466.062,1073.6319
2018-03-01,481.9131,1358.89
2018-04-01,484.8749,1253.6139
2018-05-01,483.6021,1265.0303
2018-06-01,487.7078,1235.0166
2018-07-01,481.8372,1212.5935
2018-08-01,481.0344,1204.2614
2018-09-01,488.2446,1139.3471
2018-10-01,484.5186,1243.879
2018-11-01,486.434,1143.5692
2018-12-01,492.4101,1215.5113
2019-01-01,487.8411,1159.0979
2019-02-01,489.9929,1090.8472
2019-03-01,506.9711,1364.4282
2019-04-01,513.9205,1202.2117
2019-05-01,506.9138,1146.5769
2019-06-01,509.7742,1162.3111
2019-07-01,504.7903,1210.4053
2019-08-01,506.6137,1113.003
2019-09-01,509.1617,1226.8409
2019-10-01,511.2408,1191.9067
2019-11-01,517.1987,1132.9011
2019-12-01,519.2433,1277.2657
2020-01-01,517.1592,1130.4796
2020-02-01,523.121,1055.0761
2020-03-01,540.2549,1436.8133
2020-04-01,556.335,1189.7553
2020-05-01,578.1468,1048.0059
2020-06-01,578.6886,1246.8613
2020-07-01,577.2126,1129.3126
